CPU Load (%),CPU Cores,Memory RAM Usage (%),Memory Swap Usage (%),Disk Usage (%),downgrade
77.37,4,42.29,95.95,51.26,1
84.9,5,97.08,63.57,40.61,1
85.52,7,96.19,31.65,51.62,1
57.65,4,36.88,30.44,60.69,0
4.12,7,5.91,74.8,20.68,1
78.27,5,3.83,18.26,60.17,1
28.47,1,84.07,87.43,58.3,1
38.6,6,50.77,4.74,47.93,0
92.33,2,95.84,12.21,39.4,1
38.47,1,1.72,82.27,76.27,1
47.38,1,80.29,36.33,19.53,1
71.02,4,75.36,28.92,89.56,1
81.78,3,17.26,62.55,76.13,1
32.26,6,79.81,25.63,63.93,1
69.5,2,0.55,79.13,35.67,1
31.02,2,88.1,15.86,81.87,1
42.15,4,93.63,56.71,59.86,1
57.25,5,33.84,23.37,27.82,0
25.4,7,58.46,24.9,50.34,1
40.16,3,28.23,83.96,84.48,1
37.97,1,0.02,2.82,59.73,0
69.21,8,31.27,74.37,32.89,1
36.53,8,54.58,80.43,25.49,1
89.67,2,90.54,28.93,71.03,1
92.9,2,81.03,79.07,25.2,1
30.62,1,72.82,12.97,98.1,1
16.27,4,78.03,73.3,14.45,1
72.73,5,21.06,10.68,99.61,1
96.4,7,27.88,35.09,7.17,1
39.52,8,19.36,25.67,0.17,0
32.71,5,98.28,33.77,23.6,1
33.69,4,37.02,21.42,56.89,0
15.2,5,31.15,98.98,10.22,1
40.69,5,9.93,86.66,42.12,1
25.98,7,7.34,36.56,68.11,0
35.17,5,9.79,19.31,47.68,0
22.0,6,51.74,89.92,26.83,1
1.06,3,86.8,76.33,82.33,1
8.26,7,13.06,44.11,70.73,0
63.29,5,78.49,81.04,89.56,1
5.84,4,90.83,55.08,36.37,1
88.98,3,67.77,61.58,25.41,1
29.04,4,97.29,2.17,2.92,1
70.88,5,16.89,54.89,32.43,1
33.9,2,2.17,83.8,29.56,1
76.7,4,58.05,56.19,14.3,1
32.02,7,85.04,2.22,53.54,1
25.78,4,51.02,89.89,53.44,1
47.45,7,59.92,69.44,80.66,1
70.57,6,58.34,89.65,11.87,1
94.28,8,42.96,19.03,30.43,1
47.5,1,22.25,99.89,5.17,1
37.77,2,60.44,32.67,21.02,1
62.61,5,7.31,75.6,7.07,1
41.11,4,43.12,26.84,74.0,0
94.98,6,46.19,94.15,40.69,1
47.95,7,64.56,25.33,58.27,1
92.92,4,64.94,44.08,95.97,1
46.74,4,70.36,7.76,30.6,1
90.4,5,25.1,79.93,73.14,1
37.93,8,67.54,52.03,71.93,1
17.84,6,49.36,39.13,63.51,1
48.33,8,3.94,60.03,81.69,1
16.14,3,55.28,47.49,92.23,1
32.46,2,59.76,97.68,96.23,1
48.82,4,12.1,6.62,29.63,0
86.47,1,90.77,19.49,40.99,1
14.39,4,31.08,19.12,83.1,1
83.83,5,4.69,15.75,59.41,1
28.88,7,63.77,25.14,28.03,1
72.72,5,98.74,96.73,63.57,1
82.51,2,48.04,66.85,14.42,1
42.27,7,80.63,45.5,33.1,1
13.92,5,70.19,79.1,19.28,1
50.38,8,27.59,85.44,24.54,1
85.11,4,77.61,38.66,40.12,1
77.78,2,38.82,53.61,56.67,1
77.35,5,36.93,69.92,0.22,1
94.96,1,82.7,50.03,33.88,1
76.67,2,92.95,14.89,16.41,1
28.11,6,36.36,57.32,62.36,1
94.99,8,93.28,0.12,27.08,1
45.01,2,56.31,29.46,40.93,1
12.13,5,17.47,72.19,77.3,1
80.09,3,0.06,11.56,75.84,1
67.0,6,59.79,75.8,14.39,1
54.4,2,23.51,35.75,28.52,0
62.43,1,59.13,77.58,1.07,1
72.8,2,79.45,54.91,95.55,1
93.68,8,87.5,17.12,81.22,1
32.25,4,99.22,62.72,69.6,1
2.63,4,12.23,44.65,54.72,0
74.06,1,57.75,18.8,6.87,1
49.75,2,60.75,77.58,43.66,1
91.84,3,98.5,82.67,3.07,1
93.22,3,44.64,12.39,94.76,1
33.4,8,72.08,14.71,7.67,1
45.69,8,87.42,76.39,17.05,1
36.61,5,68.07,33.21,36.47,1
47.53,3,9.85,63.84,47.08,1
3.99,7,58.59,51.24,9.26,1
43.49,7,46.38,4.41,61.92,0
63.68,4,76.96,38.86,77.33,1
45.35,8,14.89,99.04,43.02,1
20.45,2,92.48,51.24,35.83,1
92.44,7,26.72,62.95,10.33,1
7.96,6,68.37,53.28,97.3,1
27.57,4,46.17,87.94,67.02,1
4.02,6,66.41,71.48,95.54,1
2.01,4,86.58,99.63,67.03,1
25.41,4,95.29,64.14,95.52,1
76.56,3,34.01,99.19,19.92,1
99.67,6,79.66,6.61,4.77,1
33.88,2,97.4,87.34,0.74,1
56.06,3,4.09,70.05,29.52,1
7.86,6,93.15,23.83,42.78,1
25.56,8,14.71,89.94,93.73,1
88.72,8,47.13,5.58,3.71,1
0.55,5,38.98,55.66,96.77,1
99.61,8,80.28,50.87,84.35,1
22.35,4,45.31,12.02,99.68,1
9.5,8,52.55,9.35,61.18,0
33.91,3,46.12,68.92,55.25,1
2.79,2,43.44,67.6,18.99,1
50.21,8,42.39,80.06,62.34,1
33.88,8,62.07,67.86,34.37,1
66.45,1,46.46,11.12,56.56,0
59.23,4,14.86,81.25,69.82,1
38.16,8,81.33,80.28,50.68,1
21.37,4,22.52,90.97,25.96,1
25.23,4,16.27,14.54,51.21,0
18.34,3,14.6,69.52,20.44,1
13.35,5,62.28,98.86,60.26,1
87.52,3,18.29,23.47,97.63,1
22.6,5,0.34,50.88,64.46,1
30.58,6,62.5,75.9,77.28,1
62.8,2,64.37,77.66,49.4,1
43.57,8,5.79,83.08,34.12,1
60.55,7,45.82,46.5,52.84,1
83.07,8,5.06,56.36,94.62,1
80.82,4,47.03,88.01,45.07,1
2.29,6,87.18,71.74,94.34,1
42.24,3,88.58,61.42,51.22,1
52.2,7,98.7,89.96,1.24,1
62.75,6,54.67,69.8,36.79,1
32.32,6,53.82,61.29,66.73,1
12.25,3,41.65,26.94,80.49,1
30.49,4,33.1,66.36,11.92,1
33.52,5,21.05,56.84,15.58,1
16.8,8,97.72,53.43,55.15,1
90.27,1,69.05,89.2,55.77,1
44.11,5,93.49,53.71,46.18,1
57.68,8,90.28,19.63,20.41,1
45.04,5,89.59,91.67,58.24,1
72.74,3,57.52,12.17,77.9,1
92.04,3,69.84,99.27,46.98,1
32.42,3,58.89,16.75,28.63,1
72.93,5,55.69,55.15,50.64,1
99.55,1,78.6,7.02,89.6,1
32.47,4,35.65,30.04,43.18,0
79.21,5,62.8,14.47,61.08,1
61.79,3,94.8,94.34,62.27,1
88.21,6,81.69,38.73,37.21,1
42.56,2,11.8,31.22,60.3,0
79.26,3,73.14,28.05,49.94,1
86.02,8,70.65,63.29,29.46,1
63.74,5,75.87,29.39,12.33,1
27.32,8,19.14,30.76,22.74,0
48.17,8,19.75,74.76,8.54,1
78.46,6,39.34,22.56,70.82,1
84.84,5,67.74,9.95,0.95,1
38.23,8,49.52,0.77,72.36,0
74.18,1,6.27,72.51,79.4,1
75.46,8,99.98,41.5,16.66,1
26.18,2,12.21,90.05,54.86,1
23.62,3,47.14,51.51,89.92,1
43.59,5,99.19,43.88,46.06,1
74.25,8,60.88,76.51,69.07,1
96.01,3,58.61,73.77,75.95,1
85.42,1,51.99,94.6,16.97,1
71.39,6,9.26,0.15,18.79,1
33.2,7,91.2,26.61,42.41,1
91.36,7,44.4,25.83,4.38,1
82.36,8,91.81,23.65,5.05,1
18.14,6,10.79,34.23,68.16,0
90.7,4,52.48,69.25,74.24,1
6.65,6,19.19,99.43,19.47,1
19.44,3,13.8,60.68,80.21,1
8.52,1,24.01,1.99,80.51,1
59.23,5,41.95,51.48,45.41,1
21.17,2,90.45,16.01,84.38,1
93.71,8,2.92,53.83,15.84,1
5.03,8,22.4,75.9,54.4,1
33.32,7,56.31,94.96,10.3,1
3.32,6,55.9,24.44,55.08,1
99.62,2,53.76,39.65,91.56,1
40.23,1,16.76,11.81,32.5,0
58.43,3,59.41,66.2,55.18,1
25.67,7,73.18,24.14,55.12,1
70.39,7,25.49,78.72,87.92,1
18.24,4,37.36,49.35,51.99,1
50.16,7,50.76,80.01,71.64,1
84.76,7,3.19,73.66,9.73,1
31.77,8,22.45,35.52,74.17,0
21.64,4,23.7,70.56,34.51,1
84.42,3,19.79,79.39,90.2,1
51.61,8,64.3,2.04,42.18,0
0.52,5,20.21,5.56,31.49,0
5.78,5,81.51,55.82,46.51,1
56.05,8,92.51,2.14,59.5,1
63.44,2,16.01,12.93,59.33,0
87.45,8,65.06,73.39,46.59,1
36.59,5,79.79,58.66,10.05,1
85.1,6,55.82,66.91,49.36,1
71.87,2,84.9,36.17,18.69,1
11.03,1,31.85,41.37,8.89,1
59.38,5,66.99,98.26,34.12,1
95.56,7,74.15,63.42,45.09,1
84.98,8,82.08,33.33,24.13,1
14.97,4,62.23,8.56,90.74,1
11.56,8,41.74,31.6,13.94,1
37.86,6,31.73,68.42,46.72,1
56.11,7,77.73,46.98,51.26,1
32.54,5,40.39,39.33,56.68,1
98.04,8,31.41,32.81,58.72,1
32.75,5,10.59,89.73,59.77,1
28.51,5,11.56,9.89,3.54,0
74.51,1,22.94,97.36,98.39,1
15.49,8,69.79,48.92,79.35,1
80.88,8,44.94,3.32,6.72,1
48.63,1,15.6,0.65,12.3,0
86.74,7,63.25,84.45,50.7,1
25.37,1,50.73,97.63,49.78,1
52.1,4,25.9,85.8,11.72,1
26.89,7,59.44,23.51,34.99,1
68.47,7,70.09,26.67,66.29,1
50.63,2,16.63,69.39,56.8,1
1.81,2,48.13,42.83,13.44,1
64.08,4,67.06,7.29,89.92,1
14.76,2,1.11,53.96,25.64,1
51.47,2,32.96,42.86,73.02,1
36.22,2,20.87,37.7,12.96,0
70.48,1,74.11,21.91,61.36,1
47.9,8,15.25,76.86,0.93,1
94.94,4,91.56,79.66,76.53,1
15.74,1,90.81,28.06,64.41,1
49.48,8,97.25,90.86,70.02,1
51.62,2,56.86,89.94,84.67,1
87.77,3,92.66,13.51,53.52,1
13.24,7,40.51,79.76,99.57,1
98.65,8,49.45,15.56,8.04,1
33.53,1,38.02,13.18,1.27,0
21.64,1,78.19,79.16,60.12,1
1.01,8,31.65,90.94,34.21,1
28.78,1,3.71,66.03,31.12,1
78.65,7,26.7,53.09,55.71,1
92.0,3,39.44,41.17,80.85,1
12.87,2,42.44,70.42,29.36,1
99.96,7,37.11,20.61,79.21,1
82.82,4,14.91,41.84,66.83,1
25.32,6,65.2,31.82,74.15,1
54.59,2,38.84,57.66,96.92,1
20.89,5,4.64,99.06,14.56,1
74.5,6,18.28,17.1,32.3,1
29.58,5,51.11,29.3,94.74,1
70.37,3,23.79,75.14,48.44,1
0.18,8,88.52,42.47,85.46,1
89.63,3,90.59,83.21,20.22,1
98.85,8,95.66,24.11,27.09,1
5.88,2,3.06,70.87,9.58,1
93.98,7,94.64,64.28,42.01,1
14.41,1,74.4,96.99,80.12,1
64.51,6,57.9,53.89,3.95,1
20.13,8,69.24,36.58,63.36,1
77.32,8,35.01,47.72,89.5,1
59.53,5,31.08,66.3,19.94,1
52.13,7,67.53,36.57,95.23,1
42.61,8,20.43,48.19,80.43,1
20.98,2,64.05,26.49,89.04,1
95.78,7,61.17,17.28,64.28,1
26.02,7,15.46,13.99,14.36,0
32.09,1,62.04,81.87,27.41,1
11.91,3,51.12,64.63,46.57,1
93.74,2,58.82,38.38,27.57,1
73.38,7,5.73,55.23,43.99,1
97.14,8,64.61,85.48,7.35,1
46.22,3,30.69,65.8,20.86,1
30.76,6,27.12,83.81,38.92,1
44.0,4,78.01,81.51,90.46,1
48.09,2,72.9,96.27,91.62,1
94.69,7,42.61,68.84,78.89,1
85.31,8,47.38,56.64,79.63,1
37.93,1,57.61,69.36,7.87,1
30.39,3,24.04,1.34,99.49,1
90.44,8,54.36,55.01,1.13,1
43.69,4,63.35,1.57,57.46,0
16.27,6,19.61,79.83,91.83,1
18.33,5,58.67,84.26,39.07,1
75.22,2,45.18,62.36,90.89,1
69.34,3,67.56,32.14,8.78,1
6.21,1,90.97,63.95,25.22,1
41.19,5,67.89,76.82,50.35,1
14.89,4,77.55,20.52,46.52,1
11.34,1,59.41,0.66,60.19,0
49.92,4,5.42,56.9,74.7,1
62.84,4,19.71,30.84,66.15,0
6.67,6,24.31,98.26,12.29,1
72.41,2,79.24,59.77,4.52,1
51.05,7,71.78,68.16,78.02,1
12.36,8,14.71,96.22,0.16,1
1.33,2,49.75,73.1,40.33,1
13.66,4,63.96,15.43,19.46,1
38.43,3,68.56,99.76,38.58,1
89.4,7,30.7,99.21,96.31,1
98.31,3,39.73,55.9,29.32,1
85.06,2,87.39,51.37,28.25,1
3.74,2,73.18,59.58,49.51,1
32.62,2,72.51,72.5,29.62,1
29.26,6,58.87,53.25,48.2,1
41.9,7,98.37,85.57,4.13,1
28.44,5,65.09,21.3,48.49,1
0.1,4,50.42,64.43,40.68,1
27.09,8,35.32,2.78,31.28,0
83.37,1,5.72,68.12,58.81,1
27.42,7,5.02,32.85,20.31,0
78.33,7,7.99,0.68,59.53,1
81.68,3,59.02,49.82,43.33,1
51.52,7,81.95,76.11,25.69,1
28.82,4,30.96,94.12,76.23,1
3.18,3,58.74,76.2,86.54,1
88.46,8,78.05,88.56,72.34,1
22.82,8,51.59,70.01,45.1,1
26.33,4,69.41,51.99,7.1,1
39.5,5,75.96,79.77,80.08,1
14.18,7,63.31,74.6,56.21,1
81.78,2,54.49,82.49,84.25,1
96.93,8,62.38,25.11,50.34,1
70.58,4,35.2,32.37,49.5,1
13.29,6,5.7,18.98,45.85,0
46.31,8,29.39,57.89,7.62,1
12.32,7,23.4,30.95,46.8,0
43.27,8,43.6,60.4,82.12,1
6.99,6,54.53,17.79,5.56,1
65.24,7,92.02,95.52,65.09,1
43.53,6,10.29,58.95,55.83,1
87.07,2,92.68,79.85,66.51,1
98.09,4,59.47,35.17,26.56,1
98.56,6,4.94,70.88,26.01,1
36.07,4,59.36,27.43,58.19,1
7.64,8,97.11,15.41,32.92,1
67.26,7,98.25,64.29,17.44,1
35.58,8,0.04,19.26,24.15,0
20.07,2,62.52,74.75,44.24,1
25.87,8,63.21,74.95,83.92,1
63.47,6,2.61,34.76,45.46,0
79.75,1,21.91,24.73,79.29,1
7.79,7,17.92,83.88,27.05,1
81.67,3,51.15,12.21,54.76,1
92.6,1,27.2,29.38,4.19,1
13.75,2,89.52,92.24,77.52,1
33.66,3,98.35,92.4,63.79,1
45.68,7,69.04,99.7,8.06,1
10.49,6,86.71,56.78,31.39,1
41.42,3,73.11,7.7,19.69,1
25.45,3,0.51,64.41,58.54,1
20.71,4,23.69,57.24,37.26,1
10.0,4,46.31,14.16,52.67,0
57.39,1,55.29,46.57,67.62,1
98.08,2,63.51,72.46,35.09,1
69.35,8,37.0,52.13,60.79,1
12.05,3,68.31,32.29,29.5,1
71.43,4,95.24,85.65,95.21,1
26.44,3,36.52,57.07,57.47,1
84.67,8,51.17,99.61,0.02,1
60.13,5,58.01,38.12,30.66,1
95.62,8,9.39,39.85,4.68,1
53.66,8,64.81,80.78,89.76,1
35.37,1,38.54,77.36,28.92,1
46.12,3,93.14,45.14,1.02,1
10.63,8,72.19,24.66,37.75,1
39.05,4,28.97,10.14,60.81,0
11.03,3,89.8,84.24,54.26,1
18.25,4,93.13,80.74,57.33,1
93.41,5,94.3,3.17,98.93,1
19.53,3,34.24,16.36,68.14,0
86.25,4,48.45,23.49,33.24,1
99.59,4,85.95,24.8,16.21,1
11.95,8,32.3,72.0,22.43,1
97.08,4,70.88,75.7,44.48,1
57.6,1,64.24,15.17,45.69,1
4.6,5,28.73,8.72,22.91,0
36.14,8,48.53,17.68,59.78,0
16.09,3,73.01,12.12,33.92,1
25.01,5,24.56,16.98,84.57,1
40.01,3,13.19,50.01,17.34,1
4.58,4,74.8,73.41,22.51,1
67.59,1,3.2,48.31,43.62,0
98.98,4,57.59,92.3,55.78,1
96.79,3,61.91,69.8,15.78,1
20.31,3,59.21,12.36,94.75,1
69.29,8,31.14,33.44,97.29,1
90.47,2,30.97,12.27,60.35,1
0.4,6,44.62,8.96,18.86,0
26.5,7,75.91,32.45,15.63,1
23.8,8,41.27,40.43,48.01,1
97.68,6,2.86,68.94,16.15,1
69.18,8,56.9,5.94,68.24,0
3.09,5,90.67,81.19,70.24,1
69.04,4,87.97,31.51,53.92,1
27.35,5,52.55,86.96,6.23,1
78.3,1,41.47,96.05,96.96,1
43.55,1,26.98,12.57,85.35,1
38.9,8,65.35,5.78,76.51,1
28.23,5,83.31,16.99,35.63,1
79.06,2,5.4,45.16,33.5,1
64.01,7,74.59,3.79,15.73,1
45.14,1,31.16,60.22,94.18,1
62.65,5,27.21,34.78,10.57,0
46.11,2,40.09,31.28,73.45,1
35.34,4,23.74,93.17,75.53,1
63.7,8,26.46,61.84,55.76,1
78.76,3,57.34,61.75,6.59,1
